Date,Price,Open,High,Low,Volume,Chg%
2018-03-01,939.49,940.83,950.89,937.07,4130000,-0.006500000000000001
2018-03-05,915.42,934.15,941.23,912.95,5690000,-0.0256
2018-03-06,902.3,920.28,927.41,896.6,7390000,-0.0143
2018-03-07,881.4,900.71,900.71,879.71,7320000,-0.0232
2018-03-08,902.89,889.22,905.91,884.91,6130000,0.024399999999999998
2018-03-09,904.53,906.31,910.72,902.5,4910000,0.0018
2018-03-12,921.56,911.36,924.34,908.93,3840000,0.018799999999999997
2018-03-13,923.1,923.15,927.21,912.7,5150000,0.0017000000000000001
2018-03-14,920.33,920.08,923.3,910.57,6800000,-0.003
2018-03-15,903.24,916.31,920.72,901.46,5870000,-0.018600000000000002
2018-03-16,891.6,900.46,901.16,877.73,14220000,-0.0129
2018-03-19,887.09,892.54,898.38,883.62,5830000,-0.0051
2018-03-20,881.44,884.91,895.51,878.72,7010000,-0.0064
2018-03-21,888.48,886.45,893.88,884.91,6790000,0.008
2018-03-22,899.62,887.59,903.39,887.34,10210000,0.0125
2018-03-23,885.51,882.24,891.55,880.75,10830000,-0.015700000000000002
2018-03-26,892.64,885.56,895.81,884.12,6100000,0.008100000000000001
2018-03-27,891.35,898.68,902.2,888.58,7010000,-0.0014000000000000002
2018-03-28,874.41,887.39,887.44,871.74,8840000,-0.019
2018-04-02,884.57,884.61,892.49,878.18,5770000,0.0116
2018-04-03,891.1,882.63,893.23,876.94,6430000,0.0074
2018-04-04,886.5,896.2,903.24,883.67,6560000,-0.0052
2018-04-05,899.67,896.6,901.46,895.02,3940000,0.0149
2018-04-06,902.45,899.47,909.88,896.5,4460000,0.0031
2018-04-09,907.4,903.98,910.37,903.98,3610000,0.0055000000000000005
2018-04-10,908.44,909.78,915.22,905.57,3900000,0.0011
2018-04-11,922.11,913.14,923.99,907.45,6060000,0.015
2018-04-12,919.98,921.12,927.85,915.52,4990000,-0.0023
2018-04-13,930.03,923.94,932.86,919.98,5820000,0.0109
2018-04-16,928.25,925.68,931.17,919.78,4120000,-0.0019
2018-04-17,935.38,931.17,938.31,927.21,4430000,0.0077
2018-04-18,929.19,936.37,939.3,926.27,3400000,-0.0066
2018-04-19,933.45,930.28,936.13,926.22,4520000,0.0046
2018-04-20,919.19,929.19,933.01,912.55,3380000,-0.015300000000000001
2018-04-23,927.21,921.27,935.48,919.78,3540000,0.0087
2018-04-24,960.94,927.01,966.54,926.22,9190000,0.0364
2018-04-25,961.39,964.51,972.58,954.5,6500000,0.0005
2018-04-26,966.19,963.86,978.72,953.21,15740000,0.005
2018-04-27,986.94,980.51,1001.51,976.25,11780000,0.0215
2018-04-30,954.25,972.78,983.28,950.99,8960000,-0.0331
2018-05-02,963.57,957.92,970.01,955.99,6180000,0.0098
2018-05-03,952.57,968.72,968.72,950.24,3980000,-0.011399999999999999
2018-05-04,944.99,953.81,955.64,941.08,3830000,-0.008
2018-05-07,961.88,949.85,964.11,947.37,3550000,0.0179
2018-05-08,958.02,968.32,972.78,956.14,4980000,-0.004
2018-05-09,967.53,956.83,975.06,953.21,4540000,0.009899999999999999
2018-05-10,971.94,970.8,975.35,965.1,4050000,0.0046
2018-05-11,979.96,972.04,981.99,968.57,4050000,0.0083
2018-05-14,977.34,982.64,982.64,967.53,2600000,-0.0027
2018-05-15,969.76,973.82,990.61,967.48,4850000,-0.0078000000000000005
2018-05-16,947.17,964.85,964.85,943.51,8700000,-0.0233
