,Date,Price,Open,High,Low,Volume,Chg%
580,"Nov 13, 2020",146.35,150.0,150.0,145.35,32.57M,-3.21%
581,"Nov 12, 2020",151.2,150.95,153.85,150.0,56.15M,0.17%
582,"Nov 11, 2020",150.95,146.5,151.5,145.65,78.58M,3.39%
583,"Nov 10, 2020",146.0,144.05,146.7,142.75,68.79M,3.55%
584,"Nov 09, 2020",141.0,140.6,141.5,138.7,40.28M,1.44%
585,"Nov 06, 2020",139.0,137.65,142.3,137.65,67.97M,0.98%
586,"Nov 05, 2020",137.65,137.0,138.0,136.0,38.93M,1.29%
587,"Nov 04, 2020 E",135.9,135.6,137.0,134.0,44.68M,1.34%
588,"Nov 03, 2020",134.1,135.0,137.4,133.55,52.07M,0.94%
589,"Nov 02, 2020",132.85,133.65,134.0,131.1,40.39M,0.15%
590,"Oct 30, 2020",132.65,133.2,134.5,130.3,51.13M,0.57%
591,"Oct 29, 2020",131.9,132.0,133.0,130.0,66.63M,-2.15%
592,"Oct 28, 2020",134.8,139.0,143.25,133.5,152.36M,-0.63%
593,"Oct 27, 2020",135.65,134.15,136.75,130.85,56.86M,1.46%
594,"Oct 26, 2020",133.7,138.4,140.8,131.25,88.53M,-2.41%
595,"Oct 23, 2020",137.0,134.9,138.9,134.1,68.71M,2.62%
596,"Oct 22, 2020",133.5,129.7,134.6,128.45,48.81M,2.50%
597,"Oct 21, 2020",130.25,131.05,133.1,128.3,39.25M,0.46%
598,"Oct 20, 2020",129.65,128.1,130.3,126.35,27.47M,1.09%
599,"Oct 19, 2020",128.25,129.8,130.4,127.8,33.16M,0.39%
600,"Oct 16, 2020",127.75,129.4,130.05,126.0,62.55M,0.63%
601,"Oct 15, 2020",126.95,131.5,134.35,126.5,64.00M,-2.87%
602,"Oct 14, 2020",130.7,133.75,134.65,128.8,45.79M,-2.54%
603,"Oct 13, 2020",134.1,135.4,137.1,132.85,38.97M,-1.32%
604,"Oct 12, 2020",135.9,139.65,139.65,133.0,39.28M,-1.84%
605,"Oct 09, 2020",138.45,141.15,142.65,138.0,37.10M,-1.77%
606,"Oct 08, 2020",140.95,142.85,143.5,139.6,40.94M,-0.04%
607,"Oct 07, 2020",141.0,144.25,144.5,139.8,68.27M,-2.59%
608,"Oct 06, 2020",144.75,138.0,145.8,136.0,162.05M,8.10%
609,"Oct 05, 2020",133.9,136.95,137.5,132.05,55.27M,0.30%
610,"Oct 01, 2020",133.5,135.9,136.5,132.55,40.49M,0.15%
611,"Sep 30, 2020",133.3,131.55,134.4,130.3,48.86M,1.21%
612,"Sep 29, 2020",131.7,134.95,136.0,130.7,63.37M,-0.87%
613,"Sep 28, 2020",132.85,128.9,134.3,127.5,61.83M,4.40%
614,"Sep 25, 2020",127.25,123.7,128.35,123.1,65.04M,3.62%
615,"Sep 24, 2020",122.8,127.9,128.8,122.15,62.42M,-6.54%
616,"Sep 23, 2020",131.4,135.5,136.7,127.9,74.98M,-1.28%
617,"Sep 22, 2020",133.1,138.0,138.15,129.65,87.30M,-3.16%
618,"Sep 21, 2020",137.45,147.75,147.75,135.5,64.74M,-7.07%
619,"Sep 18, 2020",147.9,148.7,150.5,146.25,46.27M,0.17%
620,"Sep 17, 2020",147.65,150.8,151.0,146.2,48.12M,-2.51%
621,"Sep 16, 2020",151.45,149.2,154.3,148.55,85.06M,2.06%
622,"Sep 15, 2020",148.4,149.4,149.4,146.55,42.89M,-0.10%
623,"Sep 14, 2020",148.55,147.2,151.1,145.5,84.51M,2.95%
624,"Sep 11, 2020",144.3,143.1,146.8,141.65,65.14M,0.70%
625,"Sep 10, 2020",143.3,142.8,144.5,138.0,79.61M,2.28%
626,"Sep 09, 2020",140.1,141.0,141.75,135.7,105.36M,-1.55%
627,"Sep 08, 2020",142.3,149.45,149.6,141.2,76.30M,-4.75%
628,"Sep 07, 2020",149.4,150.0,152.0,148.0,82.62M,1.08%
629,"Sep 04, 2020",147.8,147.9,153.65,147.0,95.57M,-2.67%
630,"Sep 03, 2020",151.85,151.6,155.2,149.55,110.16M,1.03%
631,"Sep 02, 2020",150.3,144.3,151.65,141.45,74.95M,4.52%
632,"Sep 01, 2020",143.8,143.4,145.15,140.4,58.81M,0.42%
633,"Aug 31, 2020",143.2,144.5,147.95,138.2,160.56M,0.28%
634,"Aug 28, 2020",142.8,144.15,146.2,140.5,95.20M,-1.01%
635,"Aug 27, 2020",144.25,140.1,146.85,139.3,181.38M,4.60%
636,"Aug 26, 2020",137.9,130.5,139.0,128.35,197.52M,8.50%
637,"Aug 25, 2020",127.1,121.8,128.35,121.1,90.27M,4.87%
638,"Aug 24, 2020",121.2,122.0,123.0,120.8,31.30M,0.25%
639,"Aug 21, 2020",120.9,124.2,124.2,120.15,48.65M,-0.66%
640,"Aug 20, 2020",121.7,123.45,125.65,121.1,43.53M,-2.76%
641,"Aug 19, 2020",125.15,127.0,127.6,124.75,45.13M,-0.36%
642,"Aug 18, 2020",125.6,124.0,127.5,123.6,62.15M,1.66%
643,"Aug 17, 2020",123.55,124.5,126.25,120.6,61.15M,-0.84%
644,"Aug 14, 2020",124.6,131.15,132.65,123.7,75.03M,-4.99%
645,"Aug 13, 2020",131.15,126.1,131.9,124.4,95.49M,4.63%
646,"Aug 12, 2020",125.35,121.0,126.4,120.6,50.72M,2.49%
647,"Aug 11, 2020",122.3,125.0,125.8,121.4,50.23M,-1.25%
648,"Aug 10, 2020",123.85,119.95,124.7,119.7,71.10M,3.99%
649,"Aug 07, 2020",119.1,117.0,119.7,116.0,56.49M,1.97%
650,"Aug 06, 2020",116.8,116.2,117.7,115.5,60.09M,1.21%
651,"Aug 05, 2020",115.4,112.4,117.65,112.0,99.37M,3.54%
652,"Aug 04, 2020",111.45,112.95,115.1,110.8,95.91M,-1.42%
653,"Aug 03, 2020",113.05,103.0,114.4,102.9,194.77M,8.03%
654,"Jul 31, 2020",104.65,104.0,105.4,102.3,33.81M,0.96%
655,"Jul 30, 2020 E",103.65,106.4,106.75,102.85,33.38M,-1.99%
656,"Jul 29, 2020",105.75,108.1,108.75,104.85,44.56M,-0.66%
657,"Jul 28, 2020",106.45,102.3,107.2,102.0,64.27M,4.67%
658,"Jul 27, 2020",101.7,104.0,104.5,101.3,29.65M,-1.98%
659,"Jul 24, 2020",103.75,104.7,105.5,102.7,39.37M,-2.17%
660,"Jul 23, 2020",106.05,105.45,106.45,104.7,30.72M,0.86%
661,"Jul 22, 2020",105.15,108.5,109.75,104.25,50.74M,-3.04%
662,"Jul 21, 2020",108.45,106.0,109.7,105.5,66.01M,3.24%
663,"Jul 20, 2020",105.05,106.35,106.35,103.85,39.79M,-1.27%
664,"Jul 17, 2020",106.4,103.65,106.95,103.3,42.08M,3.35%
665,"Jul 16, 2020",102.95,103.95,103.95,100.6,44.33M,-0.24%
666,"Jul 15, 2020",103.2,106.8,106.8,102.5,49.69M,-1.85%
667,"Jul 14, 2020",105.15,106.9,107.55,104.1,46.93M,-2.64%
668,"Jul 13, 2020",108.0,108.85,112.1,106.85,81.90M,0.37%
669,"Jul 10, 2020",107.6,106.7,108.6,105.4,64.69M,0.61%
670,"Jul 09, 2020",106.95,106.3,108.95,104.65,54.49M,1.52%
671,"Jul 08, 2020",105.35,109.5,110.85,104.2,55.89M,-3.39%
