Date,Symbol,Price,Chg%,High,Low,Open,Volume
2017-06-09,tcs,1229.0,-0.0058,1248.8,1218.7,1235.37,3150000
2017-06-12,tcs,1219.29,-0.0079,1231.89,1211.06,1224.1,1630000
2017-06-13,tcs,1201.81,-0.0143,1216.3,1199.58,1208.41,1180000
2017-06-14,tcs,1210.96,0.0076,1213.8,1203.51,1203.51,1490000
2017-06-15,tcs,1182.03,-0.0239,1210.71,1178.99,1210.37,3000000
2017-06-16,tcs,1176.4,-0.0048,1193.7,1169.93,1183.87,2450000
2017-06-19,tcs,1192.08,0.0133,1199.27,1179.07,1184.83,1640000
2017-06-20,tcs,1198.6,0.0055,1200.56,1166.89,1191.74,1670000
2017-06-21,tcs,1179.63,-0.0158,1197.21,1175.17,1196.15,1660000
2017-06-22,tcs,1174.02,-0.0048,1191.74,1169.19,1180.96,5780000
2017-06-23,tcs,1157.77,-0.0138,1183.38,1153.99,1176.25,1420000
2017-06-27,tcs,1148.53,-0.008,1169.04,1143.01,1152.33,1970000
2017-06-28,tcs,1152.06,0.0031,1155.95,1144.68,1151.98,1790000
2017-06-29,tcs,1143.82,-0.0072,1162.84,1138.85,1156.44,2470000
2017-06-30,tcs,1158.09,0.0125,1165.27,1138.85,1139.48,1750000
2017-07-03,tcs,1163.6,0.0048,1168.23,1148.65,1155.66,1480000
2017-07-04,tcs,1160.29,-0.0028,1166.96,1152.06,1163.45,1220000
2017-07-05,tcs,1154.97,-0.0046,1159.39,1149.58,1157.33,815860
2017-07-06,tcs,1150.83,-0.0036,1157.87,1147.18,1156.44,1030000
2017-07-07,tcs,1143.18,-0.0066,1155.19,1140.02,1152.03,1230000
2017-07-10,tcs,1193.68,0.0441999999999999,1198.55,1147.62,1147.62,796780
2017-07-11,tcs,1213.7,0.0168,1232.82,1189.29,1189.29,3540000
2017-07-12,tcs,1195.88,-0.0147,1217.38,1191.3,1216.99,2650000
2017-07-13,tcs,1199.29,0.0029,1211.84,1189.58,1198.6,3130000
2017-07-14,tcs,1175.29,-0.02,1188.8,1164.29,1168.21,4510000
2017-07-17,tcs,1174.31,-0.0008,1187.38,1167.82,1175.42,2210000
2017-07-18,tcs,1180.64,0.0054,1197.62,1174.66,1174.66,1910000
