Date,High,Chg%,Price,Symbol,Open,Volume,Low
2020-01-27,237.4,-0.0149,234.6,itc,237.0,6840000,234.3
2020-01-28,235.9,-0.0163999999999999,230.75,itc,234.75,14580000,230.5
2020-01-29,237.65,0.0256,236.65,itc,231.5,20470000,231.15
2020-01-30,237.0,-0.011,234.05,itc,236.95,10390000,233.0
2020-01-31,238.4,0.0046999999999999,235.15,itc,235.75,18460000,234.05
2020-02-01,239.25,-0.0687,219.0,itc,236.9,42270000,215.5
2020-02-03,216.9,-0.0521,207.6,itc,215.0,79760000,205.0
2020-02-04,217.6,0.0388,215.65,itc,210.8,35770000,209.15
2020-02-05,217.5,0.0037,216.45,itc,216.3,21250000,211.5
2020-02-06,219.9,-0.0134,213.55,itc,218.0,27390000,211.8
2020-02-07,215.7,-0.0007,213.4,itc,213.8,17130000,212.75
2020-02-10,214.05,-0.0134,210.55,itc,214.0,9620000,210.05
2020-02-11,216.95,0.0097,212.6,itc,216.5,29800000,211.8
2020-02-12,214.8,0.0021,213.05,itc,213.4,9930000,211.8
2020-02-13,213.45,-0.0054,211.9,itc,213.05,9150000,211.2
2020-02-14,212.9,-0.0197999999999999,207.7,itc,212.25,13730000,206.8
2020-02-17,208.65,-0.0139999999999999,204.8,itc,208.0,15560000,204.0
2020-02-18,204.6,-0.0046,203.85,itc,204.55,20930000,200.5
2020-02-19,207.15,0.0139999999999999,206.7,itc,205.25,9050000,203.85
2020-02-20,208.55,0.0036,207.45,itc,207.0,15590000,205.45
2020-02-24,207.45,-0.0215,203.0,itc,207.0,16590000,201.8
2020-02-25,205.4,-0.0059,201.8,itc,203.8,15310000,201.5
2020-02-26,201.95,-0.0159,198.6,itc,200.65,17870000,196.3
2020-02-27,199.15,-0.0053,197.55,itc,198.4,17270000,195.9
2020-02-28,199.9,0.0,197.55,itc,195.0,32630000,192.05
2020-03-02,203.45,-0.0113999999999999,195.3,itc,199.5,18560000,193.65
2020-03-03,197.45,-0.0074,193.85,itc,197.0,17950000,192.55
2020-03-04,195.55,-0.0327999999999999,187.5,itc,194.95,27660000,186.55
2020-03-05,191.2,0.0029,188.05,itc,187.55,20030000,186.55
2020-03-06,184.85,-0.0335,181.75,itc,184.85,26760000,179.75
2020-03-09,179.0,-0.025,177.2,itc,179.0,21800000,174.5
2020-03-11,176.75,-0.0087,175.65,itc,174.0,27960000,172.35
2020-03-12,169.15,-0.113,155.8,itc,169.0,52040000,150.55
2020-03-13,164.0,0.0414,162.25,itc,150.0,61590000,134.6
2020-03-16,158.1,-0.0924,147.25,itc,158.0,33259999,145.25
2020-03-17,155.8,0.0129,149.15,itc,148.0,47660000,146.05
2020-03-18,154.65,0.0104,150.7,itc,152.1,50250000,147.35
2020-03-19,163.55,0.074,161.85,itc,150.7,89750000,144.75
2020-03-20,176.5,0.0843,175.5,itc,165.1,62000000,165.1
2020-03-23,162.0,-0.1208,154.3,itc,158.0,51350000,149.2
2020-03-24,163.7,-0.0298,149.7,itc,162.95,52570000,147.4
2020-03-25,152.0,-0.0157,147.35,itc,151.0,62510000,139.0
2020-03-26,159.4,0.0613999999999999,156.4,itc,150.0,58440000,143.25
2020-03-27,166.0,0.0435,163.2,itc,162.0,32640000,155.0
2020-03-30,164.9,-0.0245,159.2,itc,156.05,28120000,156.05
2020-03-31,173.85,0.0785,171.7,itc,164.0,42630000,161.55
2020-04-01,172.75,-0.0308999999999999,166.4,itc,171.7,18140000,164.55
2020-04-03,182.75,0.0691,177.9,itc,167.9,62870000,167.0
2020-04-07,185.7,0.0204999999999999,181.55,itc,185.7,36120000,173.65
2020-04-08,184.0,-0.016,178.65,itc,180.85,37560000,176.65
2020-04-09,186.25,0.0369,185.25,itc,184.0,42640000,180.0
