Date,Low,High,Open,Volume,Symbol,Price,Chg%
2018-03-23,2395.0,2435.0,2405.5,273340,britannia,2419.82,0.0003
2018-03-26,2419.47,2435.0,2420.03,192500,britannia,2429.0,0.0038
2018-03-27,2431.93,2492.88,2437.5,485250,britannia,2482.4,0.022
2018-03-28,2452.1,2502.0,2482.4,526030,britannia,2485.3,0.0012
2018-04-02,2487.2,2558.85,2499.0,291720,britannia,2553.53,0.0275
2018-04-03,2522.3,2559.5,2559.0,214840,britannia,2549.9,-0.0014
2018-04-04,2495.5,2542.4,2528.5,268380,britannia,2512.2,-0.0148
2018-04-05,2505.5,2537.35,2512.5,204050,britannia,2533.93,0.0086
2018-04-06,2525.0,2599.97,2544.97,272780,britannia,2589.12,0.0218
2018-04-09,2568.28,2603.5,2591.0,125080,britannia,2581.45,-0.003
2018-04-10,2530.0,2588.75,2582.0,148510,britannia,2567.12,-0.0056
2018-04-11,2553.0,2580.68,2569.95,87600,britannia,2567.68,0.0002
2018-04-12,2555.0,2601.5,2566.5,223380,britannia,2581.43,0.0054
2018-04-13,2579.3,2618.07,2610.0,293690,britannia,2604.45,0.0089
2018-04-16,2592.93,2669.0,2606.45,191330,britannia,2656.18,0.0199
2018-04-17,2657.12,2710.22,2668.5,392790,britannia,2671.05,0.0056
2018-04-18,2660.5,2694.2,2684.0,129789,britannia,2680.82,0.0037
2018-04-19,2673.07,2709.62,2683.5,129050,britannia,2697.9,0.0064
2018-04-20,2649.75,2700.47,2698.0,88070,britannia,2661.18,-0.0136
2018-04-23,2652.22,2682.4,2675.0,181690,britannia,2656.53,-0.0017
2018-04-24,2625.55,2671.55,2665.0,116200,britannia,2648.6,-0.003
2018-04-25,2638.62,2726.25,2650.0,190560,britannia,2687.65,0.0147
2018-04-26,2672.55,2706.03,2690.0,184850,britannia,2686.7,-0.0004
2018-04-27,2689.18,2747.93,2695.0,176860,britannia,2730.38,0.0163
2018-04-30,2730.0,2768.22,2731.5,129500,britannia,2756.6,0.0096
2018-05-02,2704.4,2782.75,2772.5,144160,britannia,2712.53,-0.016
2018-05-03,2660.0,2730.0,2730.0,152100,britannia,2668.55,-0.0162
2018-05-04,2650.5,2713.62,2675.0,225300,britannia,2692.25,0.0089
2018-05-07,2692.25,2750.03,2692.25,151630,britannia,2736.35,0.0163999999999999
2018-05-08,2691.62,2750.0,2745.0,107510,britannia,2722.35,-0.0051
2018-05-09,2694.55,2726.28,2709.5,125670,britannia,2700.75,-0.0079
2018-05-10,2672.75,2713.07,2700.22,200290,britannia,2693.22,-0.0028
2018-05-11,2700.0,2746.2,2700.0,124230,britannia,2738.85,0.0169
2018-05-14,2706.6,2755.0,2755.0,80050,britannia,2732.05,-0.0025
2018-05-15,2708.15,2753.85,2750.0,277740,britannia,2727.4,-0.0017
2018-05-16,2667.82,2792.5,2715.0,478000,britannia,2771.1,0.016
2018-05-17,2720.53,2785.0,2775.0,266520,britannia,2738.38,-0.0118
2018-05-18,2740.12,2820.0,2754.5,306420,britannia,2798.53,0.022
2018-05-21,2739.45,2835.5,2803.5,222480,britannia,2760.8,-0.0135
2018-05-22,2760.15,2815.0,2774.72,223360,britannia,2802.2,0.015
2018-05-23,2800.0,2867.5,2810.0,389010,britannia,2857.85,0.0199
2018-05-24,2841.0,2895.95,2851.68,263790,britannia,2859.1,0.0004
2018-05-25,2853.03,2925.0,2860.0,234920,britannia,2913.75,0.0191
2018-05-28,2896.5,2939.38,2939.38,136480,britannia,2921.47,0.0026
2018-05-29,2889.12,2934.0,2927.35,169820,britannia,2902.55,-0.0065
2018-05-30,2868.0,2909.78,2876.7,220700,britannia,2894.93,-0.0026
2018-05-31,2880.0,3007.9,2900.0,620770,britannia,2961.97,0.0232
2018-06-01,2897.1,2987.0,2987.0,244770,britannia,2906.22,-0.0187999999999999
2018-06-04,2855.3,2932.03,2918.7,234990,britannia,2883.1,-0.008
2018-06-05,2877.78,2920.0,2877.78,146210,britannia,2905.9,0.0079
2018-06-06,2902.5,2944.5,2902.5,137320,britannia,2938.47,0.0112
2018-06-07,2944.05,3008.5,2955.0,244240,britannia,2996.65,0.0197999999999999
2018-06-08,2944.03,3008.0,3008.0,176900,britannia,2958.82,-0.0126
