,Date,Price,Open,High,Low,Volume,Chg%
1000,"Mar 05, 2019",3068.85,3065.2,3100.25,3060.0,246.28K,-0.27%
1001,"Mar 01, 2019",3077.25,3083.0,3090.35,3062.3,217.42K,0.67%
1002,"Feb 28, 2019",3056.9,3071.0,3098.6,3032.9,447.04K,-0.06%
1003,"Feb 27, 2019",3058.6,3080.0,3108.95,3023.35,393.44K,-0.48%
1004,"Feb 26, 2019",3073.5,3056.0,3092.95,3018.25,568.49K,0.83%
1005,"Feb 25, 2019",3048.2,3013.2,3077.0,2982.0,336.07K,1.17%
1006,"Feb 22, 2019",3012.8,3008.0,3057.3,2972.7,313.43K,0.37%
1007,"Feb 21, 2019",3001.6,2943.95,3018.0,2935.0,724.30K,2.71%
1008,"Feb 20, 2019",2922.3,2884.0,2930.0,2884.0,271.06K,1.70%
1009,"Feb 19, 2019",2873.55,2910.2,2975.95,2851.0,484.18K,-1.31%
1010,"Feb 18, 2019",2911.7,2860.0,2939.0,2759.0,700.98K,1.87%
1011,"Feb 15, 2019",2858.35,2945.0,2945.0,2846.0,374.81K,-2.27%
1012,"Feb 14, 2019",2924.6,2915.0,2949.0,2900.0,288.54K,0.04%
1013,"Feb 13, 2019",2923.4,3015.0,3034.8,2907.0,504.16K,-2.83%
1014,"Feb 12, 2019",3008.6,3105.0,3107.0,3001.0,515.30K,-3.18%
1015,"Feb 11, 2019",3107.55,3120.0,3132.3,3055.3,265.36K,-0.08%
1016,"Feb 08, 2019",3110.0,3138.5,3210.0,3095.0,640.98K,-3.24%
1017,"Feb 07, 2019 E",3214.1,3210.0,3230.0,3174.1,374.13K,1.03%
1018,"Feb 06, 2019",3181.4,3188.5,3199.95,3105.05,313.48K,0.45%
1019,"Feb 05, 2019",3167.05,3278.0,3316.0,3150.1,503.96K,-3.03%
1020,"Feb 04, 2019",3266.0,3251.35,3280.4,3228.2,140.28K,0.46%
1021,"Feb 01, 2019",3251.0,3201.0,3286.0,3201.0,387.19K,1.67%
1022,"Jan 31, 2019",3197.7,3231.95,3231.95,3189.2,255.27K,-0.35%
1023,"Jan 30, 2019",3208.8,3197.0,3222.0,3180.1,116.52K,0.90%
1024,"Jan 29, 2019",3180.05,3197.0,3197.0,3152.5,179.98K,-0.73%
1025,"Jan 28, 2019",3203.45,3210.5,3222.0,3131.0,216.80K,-0.10%
1026,"Jan 25, 2019",3206.65,3221.0,3270.0,3193.05,325.17K,-0.32%
1027,"Jan 24, 2019",3216.85,3217.0,3225.0,3190.55,148.52K,0.41%
1028,"Jan 23, 2019",3203.85,3177.0,3229.0,3161.05,286.99K,1.59%
1029,"Jan 22, 2019",3153.65,3150.0,3174.95,3130.15,156.09K,0.17%
1030,"Jan 21, 2019",3148.4,3170.0,3198.55,3136.5,174.71K,-0.72%
1031,"Jan 18, 2019",3171.35,3214.85,3217.35,3134.25,161.43K,-1.11%
1032,"Jan 17, 2019",3207.1,3181.0,3212.0,3175.05,154.54K,0.99%
