,Date,Price,Open,High,Low,Volume,Chg%
1198,"May 18, 2018",282.3,278.55,285.55,276.0,15.42M,1.20%
1199,"May 17, 2018",278.95,288.0,288.7,278.45,10.76M,-2.41%
1200,"May 16, 2018 E",285.85,279.95,288.8,279.55,18.06M,1.42%
1201,"May 15, 2018",281.85,284.85,286.0,280.7,7.78M,-1.04%
1202,"May 14, 2018",284.8,283.0,287.3,282.0,6.48M,0.41%
1203,"May 11, 2018",283.65,281.9,284.0,279.75,3.89M,1.25%
1204,"May 10, 2018",280.15,282.95,283.95,277.3,5.67M,-0.76%
1205,"May 09, 2018",282.3,281.5,284.0,281.5,4.21M,-0.14%
1206,"May 08, 2018",282.7,283.15,285.95,282.0,6.59M,0.16%
1207,"May 07, 2018",282.25,278.3,283.4,276.9,6.48M,1.84%
1208,"May 04, 2018",277.15,287.0,287.0,275.85,10.90M,-2.75%
1209,"May 03, 2018",285.0,287.5,289.7,283.05,9.37M,-0.78%
1210,"May 02, 2018",287.25,282.1,288.7,280.25,16.07M,2.06%
1211,"Apr 30, 2018",281.45,279.6,283.85,279.6,5.92M,0.73%
1212,"Apr 27, 2018",279.4,279.6,280.95,278.4,9.73M,0.41%
1213,"Apr 26, 2018",278.25,274.55,279.1,273.0,20.28M,1.51%
1214,"Apr 25, 2018",274.1,275.5,276.3,272.7,4.93M,-0.69%
1215,"Apr 24, 2018",276.0,276.0,278.85,274.65,8.45M,0.18%
1216,"Apr 23, 2018",275.5,276.0,277.2,275.0,11.75M,-0.25%
1217,"Apr 20, 2018",276.2,276.0,279.25,273.5,10.79M,-0.41%
1218,"Apr 19, 2018",277.35,277.25,280.0,275.25,12.82M,0.73%
1219,"Apr 18, 2018",275.35,268.7,278.9,268.0,23.82M,2.90%
1220,"Apr 17, 2018",267.6,265.4,268.4,262.7,13.21M,1.19%
1221,"Apr 16, 2018",264.45,260.5,264.9,260.0,5.21M,1.42%
1222,"Apr 13, 2018",260.75,263.0,263.5,260.0,4.99M,-0.46%
1223,"Apr 12, 2018",261.95,265.1,265.15,261.4,6.13M,-1.21%
1224,"Apr 11, 2018",265.15,266.9,267.55,263.4,5.23M,-0.58%
1225,"Apr 10, 2018",266.7,266.35,268.7,265.1,14.68M,0.34%
1226,"Apr 09, 2018",265.8,261.15,266.6,260.9,9.22M,1.90%
1227,"Apr 06, 2018",260.85,260.5,262.0,260.05,6.10M,0.46%
1228,"Apr 05, 2018",259.65,255.5,260.0,255.5,9.11M,0.41%
1229,"Apr 04, 2018",258.6,259.5,259.8,257.1,8.39M,0.04%
1230,"Apr 03, 2018",258.5,258.0,260.0,257.5,5.10M,0.10%
1231,"Apr 02, 2018",258.25,257.0,258.95,255.45,7.03M,1.08%
1232,"Mar 28, 2018",255.5,258.0,258.95,254.35,12.27M,-1.31%
1233,"Mar 27, 2018",258.9,258.8,260.5,256.9,8.77M,0.31%
1234,"Mar 26, 2018",258.1,252.9,260.0,252.5,12.50M,0.82%
1235,"Mar 23, 2018",256.0,256.0,258.8,254.75,11.19M,-0.89%
1236,"Mar 22, 2018",258.3,260.0,261.45,257.85,8.01M,-0.29%
1237,"Mar 21, 2018",259.05,260.05,261.65,258.7,12.92M,-0.06%
1238,"Mar 20, 2018",259.2,258.15,259.95,257.5,7.48M,0.02%
1239,"Mar 19, 2018",259.15,260.55,262.2,258.3,12.93M,-0.52%
1240,"Mar 16, 2018",260.5,266.4,266.4,258.85,20.68M,-1.90%
1241,"Mar 15, 2018",265.55,267.0,269.9,265.2,5.56M,-0.93%
1242,"Mar 14, 2018",268.05,268.05,269.05,265.3,7.91M,-0.52%
1243,"Mar 13, 2018",269.45,269.65,272.0,267.2,8.33M,-0.24%
1244,"Mar 12, 2018",270.1,264.0,270.85,262.95,19.90M,4.19%
1245,"Mar 09, 2018",259.25,259.0,260.9,258.25,6.11M,0.15%
1246,"Mar 08, 2018",258.85,260.3,261.9,257.75,6.03M,-0.40%
1247,"Mar 07, 2018",259.9,256.5,260.5,253.55,15.15M,1.33%
1248,"Mar 06, 2018",256.5,261.05,262.4,255.5,8.18M,-1.44%
