Date,Low,Volume,Price,Chg%,High,Open
2021-11-29,3469.1,281080,3528.6,-0.0075,3550.0,3550.0
2021-11-30,3501.1,633380,3545.5,0.0048,3565.0,3514.0
2021-12-01,3528.0,312860,3535.25,-0.0029,3606.7,3550.5
2021-12-02,3530.0,377040,3578.5,0.0121999999999999,3607.3,3540.0
2021-12-03,3550.0,313990,3553.75,-0.0069,3593.45,3557.0
2021-12-06,3490.0,165990,3496.2,-0.0162,3581.1,3556.0
2021-12-07,3467.0,254450,3474.2,-0.0063,3529.0,3502.05
2021-12-08,3483.0,326190,3575.75,0.0292,3582.45,3489.95
2021-12-09,3564.0,284120,3623.9,0.0135,3634.45,3565.0
2021-12-10,3604.4,190380,3632.45,0.0024,3642.0,3623.9
2021-12-13,3576.95,311900,3588.75,-0.012,3658.35,3641.0
2021-12-14,3543.05,297870,3579.65,-0.0025,3597.45,3580.0
2021-12-15,3521.5,152080,3541.6,-0.0106,3579.6,3571.0
2021-12-16,3536.65,121780,3560.6,0.0054,3571.65,3550.0
2021-12-17,3500.0,307400,3536.15,-0.0069,3556.0,3546.0
2021-12-20,3430.1,382140,3471.9,-0.0182,3530.0,3522.0
2021-12-21,3461.05,222990,3505.75,0.0097,3541.35,3473.9
2021-12-22,3484.6,257610,3497.0,-0.0025,3538.6,3522.0
2021-12-23,3502.0,163290,3554.6,0.0165,3560.0,3503.1
2021-12-24,3519.0,136780,3541.3,-0.0037,3565.0,3560.0
2021-12-27,3506.7,94110,3513.2,-0.0079,3544.55,3540.0
2021-12-28,3511.1,99500,3550.65,0.0107,3562.0,3531.0
2021-12-29,3525.2,163740,3559.6,0.0025,3569.8,3550.65
2021-12-30,3526.05,167010,3573.9,0.004,3586.0,3570.0
2021-12-31,3569.05,244210,3606.0,0.009,3623.2,3586.0
2022-01-03,3582.2,149690,3617.55,0.0032,3626.0,3610.0
2022-01-04,3610.0,317250,3638.45,0.0058,3643.85,3623.0
2022-01-05,3633.05,245400,3659.7,0.0058,3689.0,3638.0
2022-01-06,3625.8,340350,3675.1,0.0042,3686.95,3659.7
2022-01-07,3682.85,241910,3737.35,0.0169,3742.0,3685.0
2022-01-10,3727.9,351450,3768.3,0.0083,3778.0,3737.35
2022-01-11,3738.1,206010,3743.35,-0.0066,3800.95,3768.3
2022-01-12,3691.0,311100,3700.2,-0.0115,3759.75,3750.0
2022-01-13,3691.3,129139,3749.05,0.0132,3759.95,3700.2
2022-01-14,3695.3,97010,3712.05,-0.0098999999999999,3754.9,3749.05
2022-01-17,3642.35,170220,3665.15,-0.0126,3712.8,3697.0
2022-01-18,3611.1,168100,3621.9,-0.0118,3694.7,3668.0
2022-01-19,3565.0,129229,3575.65,-0.0128,3627.55,3620.0
2022-01-20,3576.5,173550,3605.15,0.0083,3624.0,3590.0
2022-01-21,3575.7,162590,3618.3,0.0036,3629.0,3606.0
2022-01-24,3505.0,240600,3523.85,-0.0260999999999999,3626.55,3610.0
2022-01-25,3430.25,306410,3539.3,0.0044,3565.45,3502.0
2022-01-27,3435.65,353610,3494.15,-0.0128,3535.0,3535.0
2022-01-28,3494.15,249030,3509.65,0.0044,3595.0,3494.15
2022-01-31,3510.0,462840,3535.3,0.0073,3636.0,3510.0
2022-02-01,3545.05,631480,3656.6,0.0343,3710.0,3560.0
2022-02-02,3604.8,209930,3621.05,-0.0097,3670.0,3670.0
2022-02-03,3555.0,203980,3562.4,-0.0162,3652.0,3622.0
2022-02-04,3540.0,162670,3562.0,-0.0001,3593.7,3583.45
2022-02-07,3440.0,279190,3448.6,-0.0318,3579.8,3561.95
2022-02-08,3418.4,363860,3473.45,0.0072,3490.0,3441.0
2022-02-09,3473.45,172750,3517.35,0.0126,3540.7,3509.0
2022-02-10,3485.0,172090,3534.55,0.0049,3543.85,3522.0
2022-02-11,3429.0,340220,3480.55,-0.0153,3509.35,3499.0
2022-02-14,3388.05,209830,3398.0,-0.0237,3455.0,3428.0
2022-02-15,3400.0,209070,3477.9,0.0235,3490.0,3425.0
2022-02-16,3435.0,190570,3462.0,-0.0046,3498.8,3480.0
2022-02-17,3430.0,173360,3464.1,0.0006,3483.0,3482.6
2022-02-18,3444.15,121160,3481.65,0.0051,3495.0,3450.0
2022-02-21,3430.0,138290,3475.25,-0.0018,3500.0,3431.1
2022-02-22,3405.0,246370,3489.75,0.0042,3498.0,3405.0
2022-02-23,3470.0,326850,3511.15,0.0060999999999999,3530.0,3497.75
2022-02-24,3414.0,530000,3446.0,-0.0186,3504.0,3439.5
2022-02-25,3350.4,722640,3422.75,-0.0067,3444.0,3435.0
2022-02-28,3327.35,426930,3427.45,0.0014,3440.0,3405.0
2022-03-02,3371.75,416580,3391.75,-0.0104,3420.95,3420.95
2022-03-03,3350.0,429890,3366.4,-0.0075,3439.55,3405.0
2022-03-04,3275.0,331940,3371.35,0.0015,3394.85,3350.0
2022-03-07,3138.55,711480,3153.45,-0.0646,3300.55,3300.0
2022-03-08,3050.0,541970,3113.75,-0.0126,3180.0,3115.0
2022-03-09,3093.7,483470,3123.85,0.0032,3170.0,3144.0
2022-03-10,3144.8,490460,3222.95,0.0317,3248.0,3225.0
2022-03-11,3192.8,362090,3199.9,-0.0072,3256.6,3250.0
2022-03-14,3145.1,335290,3185.85,-0.0044,3215.0,3199.9
2022-03-15,3181.65,258640,3222.85,0.0116,3249.0,3186.0
2022-03-16,3232.25,239520,3313.65,0.0282,3318.35,3244.0
2022-03-17,3300.55,436220,3355.95,0.0128,3362.0,3322.0
2022-03-21,3230.0,354460,3237.55,-0.0353,3350.0,3350.0
2022-03-22,3132.25,583820,3158.4,-0.0243999999999999,3250.0,3230.0
2022-03-23,3092.0,1040000,3102.25,-0.0178,3173.85,3167.4
2022-03-24,3080.55,459230,3103.85,0.0005,3130.0,3087.0
2022-03-25,3074.1,339040,3094.5,-0.003,3122.75,3110.0
2022-03-28,3060.05,310240,3094.8,0.0001,3118.95,3094.5
2022-03-29,3090.2,359320,3103.8,0.0029,3134.0,3112.0
2022-03-30,3114.65,450270,3148.4,0.0144,3160.0,3123.65
2022-03-31,3147.3,413900,3206.4,0.0184,3218.5,3149.3
2022-04-01,3191.65,260709,3230.65,0.0076,3237.9,3210.0
2022-04-04,3215.0,275390,3270.0,0.0121999999999999,3276.4,3230.0
2022-04-05,3271.9,236850,3303.4,0.0102,3314.95,3280.0
2022-04-06,3254.65,245110,3282.5,-0.0063,3295.0,3282.0
2022-04-07,3265.65,302700,3294.1,0.0034999999999999,3322.0,3275.0
2022-04-08,3287.0,168950,3347.9,0.0163,3354.3,3287.0
2022-04-11,3297.05,186130,3350.65,0.0008,3370.0,3347.9
2022-04-12,3302.3,238040,3344.1,-0.002,3364.9,3340.0
2022-04-13,3340.0,205850,3349.65,0.0017,3388.0,3340.0
2022-04-18,3306.05,197880,3343.9,-0.0017,3367.9,3345.0
2022-04-19,3245.3,296680,3267.9,-0.0227,3388.0,3343.9
2022-04-20,3242.0,235570,3304.2,0.0111,3335.0,3266.0
2022-04-21,3274.4,152210,3359.9,0.0169,3369.95,3297.0
2022-04-22,3325.0,148490,3364.1,0.0013,3377.5,3341.3
2022-04-25,3132.05,630310,3295.9,-0.0203,3347.05,3280.0
2022-04-26,3301.3,398550,3372.7,0.0233,3402.0,3308.3
2022-04-27,3312.15,248770,3338.25,-0.0102,3384.7,3350.0
2022-04-28,3263.1,322550,3357.9,0.0059,3391.55,3270.0
2022-04-29,3266.5,259399,3279.25,-0.0233999999999999,3370.9,3360.1
2022-05-02,3203.0,215780,3271.3,-0.0024,3284.9,3242.0
2022-05-04,3328.15,2870000,3385.45,0.0349,3596.0,3340.0
2022-05-05,3260.0,623100,3277.0,-0.032,3423.55,3410.0
2022-05-06,3187.1,560370,3307.8,0.0093999999999999,3323.85,3245.0
2022-05-09,3225.0,403410,3252.05,-0.0169,3338.3,3282.5
2022-05-10,3235.0,285190,3246.55,-0.0017,3320.6,3261.0
2022-05-11,3195.0,269580,3259.85,0.0040999999999999,3283.8,3240.0
2022-05-12,3156.9,310940,3216.85,-0.0132,3239.95,3225.5
2022-05-13,3225.0,326760,3278.5,0.0192,3321.0,3225.0
2022-05-16,3253.4,270770,3284.9,0.002,3337.95,3337.0
2022-05-17,3285.45,277190,3368.85,0.0256,3382.9,3289.0
2022-05-18,3350.0,435710,3394.35,0.0076,3432.65,3350.0
2022-05-19,3308.05,394060,3332.05,-0.0184,3388.6,3365.0
2022-05-20,3352.0,525530,3450.25,0.0355,3463.8,3360.0
2022-05-23,3451.25,524980,3487.05,0.0107,3538.0,3451.25
2022-05-24,3440.0,230530,3470.45,-0.0048,3518.0,3515.0
2022-05-25,3472.15,286550,3516.5,0.0133,3525.0,3491.7
